NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1,서울특별시 강서구 내발산동,661-2,661,2,타워힐101동,84.9095,201112,31,"30,000",2,2002,공항대로42길 51-8,서울특별시 강서구 내발산동 661-2,126.843249038454,37.5551351741415
2,서울특별시 강서구 화곡동,1095,1095,0,그랜드아이파크,123.48,201112,31,"85,767",16,2010,화곡로 347,서울특별시 강서구 화곡동 1095,126.851250232655,37.5548546834697
3,서울특별시 강서구 염창동,266-3,266,3,노블레스아파트,84.87,201112,30,"27,000",6,2006,공항대로65가길 17,서울특별시 강서구 염창동 266-3,126.870445649979,37.5510487875075
4,서울특별시 강서구 염창동,250-3,250,3,이너스양화6차,84.75,201112,30,"32,729",1,2009,양천로73가길 38,서울특별시 강서구 염창동 250-3,126.874319921281,37.5503005515302
5,서울특별시 강서구 방화동,814,814,0,방화5,33.18,201112,30,"13,500",1,1994,금낭화로 287-19,서울특별시 강서구 방화동 814,126.810252932489,37.5771889702167
6,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201112,30,"61,000",16,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
7,서울특별시 강서구 화곡동,925-1,925,1,한백아파트,60.42,201112,30,"17,500",3,2003,곰달래로20길 12,서울특별시 강서구 화곡동 925-1,126.842700493851,37.5298199838492
8,서울특별시 강서구 내발산동,715-5,715,5,광성금강,64.1121,201112,30,"23,500",1,2001,강서로45라길 15,서울특별시 강서구 내발산동 715-5,126.833712880911,37.5487143270347
9,서울특별시 강서구 등촌동,695,695,0,주공5,58.14,201112,30,"30,200",9,1995,공항대로39길 74,서울특별시 강서구 등촌동 695,126.84486883674,37.5604516606831
10,서울특별시 강서구 등촌동,646-28,646,28,삼우지엔씨,84.36,201112,30,"28,300",6,2005,공항대로59길 29-8,서울특별시 강서구 등촌동 646-28,126.863105568211,37.5530183755292
11,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201112,30,"20,000",11,1994,공항대로43길 104,서울특별시 강서구 등촌동 707,126.851687961989,37.56080406349
12,서울특별시 강서구 염창동,264-27,264,27,삼성한아름,84.9,201112,30,"32,500",4,1993,양천로 686-5,서울특별시 강서구 염창동 264-27,126.871602195238,37.5500695849946
13,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",114.98,201112,29,"76,000",16,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
14,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,84.7556,201112,29,"52,000",12,2005,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
15,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",101.65,201112,29,"67,400",12,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
16,서울특별시 강서구 내발산동,751,751,0,마곡수명산파크3단지,84.96,201112,29,"39,900",1,2007,수명로1길 110,서울특별시 강서구 내발산동 751,126.824912207374,37.5528192530167
17,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,39.6,201112,29,"18,900",1,1993,허준로 234,서울특별시 강서구 가양동 1490,126.863532908859,37.5587212796979
18,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201112,29,"16,500",1,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
19,서울특별시 강서구 화곡동,899-25,899,25,창대,74.32,201112,28,"26,000",8,2008,강서로7길 20-28,서울특별시 강서구 화곡동 899-25,126.845591337973,37.5301342836718
20,서울특별시 강서구 방화동,839,839,0,방화그린,39.76,201112,28,"15,900",4,1993,방화대로48길 40,서울특별시 강서구 방화동 839,126.818960346599,37.5747821264629
21,서울특별시 강서구 염창동,250-3,250,3,이너스양화6차,84.75,201112,28,"34,500",7,2009,양천로73가길 38,서울특별시 강서구 염창동 250-3,126.874319921281,37.5503005515302
22,서울특별시 강서구 염창동,264-27,264,27,삼성한아름,84.89,201112,28,"33,000",4,1993,양천로 686-5,서울특별시 강서구 염창동 264-27,126.871602195238,37.5500695849946
23,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201112,28,"20,500",10,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
