NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1,서울특별시 강서구 내발산동,751,751,0,마곡수명산파크3단지,84.76,201412,31,"41,500",14,2007,수명로1길 110,서울특별시 강서구 내발산동 751,126.824912207374,37.5528192530167
2,서울특별시 강서구 내발산동,657,657,0,우장산힐스테이트,101.87,201412,31,"63,000",17,2005,강서로 348,서울특별시 강서구 내발산동 657,126.838965102044,37.5562956592551
3,서울특별시 강서구 가양동,1460,1460,0,한강타운,84.99,201412,31,"36,000",9,1993,허준로 23,서울특별시 강서구 가양동 1460,126.844987319453,37.5713848523162
4,서울특별시 강서구 방화동,793,793,0,현대,84.99,201412,31,"31,700",4,1993,방화대로37길 35,서울특별시 강서구 방화동 793,126.814306445709,37.5703736330423
5,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201412,31,"15,000",1,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
6,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201412,31,"21,000",15,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
7,서울특별시 강서구 가양동,448-1,448,1,가양강나루현대,59.76,201412,31,"33,000",14,1999,양천로 507,서울특별시 강서구 가양동 448-1,126.856971359725,37.5607561619781
8,서울특별시 강서구 등촌동,688,688,0,주공3,58.14,201412,31,"30,700",12,1995,강서로56나길 37,서울특별시 강서구 등촌동 688,126.841111422493,37.5616418349754
9,서울특별시 강서구 등촌동,628-15,628,15,등촌라인(조합),84.78,201412,31,"36,500",9,1997,화곡로68길 33,서울특별시 강서구 등촌동 628-15,126.856290173496,37.5591969717505
10,서울특별시 강서구 등촌동,642,642,0,제일(코오롱),59.95,201412,31,"26,700",8,1999,화곡로66길 90,서울특별시 강서구 등촌동 642,126.858281994359,37.5559780461935
