NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1,서울특별시 강서구 등촌동,676,676,0,태진아름,59.94,201512,31,"32,000",9,1995,등촌로53길 39,서울특별시 강서구 등촌동 676,126.860380385492,37.549652571474
2,서울특별시 강서구 화곡동,56-29,56,29,계명나동(56-29),72.48,201512,31,"22,000",6,2002,초록마을로 75-3,서울특별시 강서구 화곡동 56-29,126.850958310622,37.5414101641981
3,서울특별시 강서구 가양동,1475,1475,0,강변,49.5,201512,31,"27,450",15,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
4,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201512,31,"21,000",5,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
5,서울특별시 강서구 가양동,448-9,448,9,빛고을우방,84.9,201512,31,"40,500",4,1999,양천로 521,서울특별시 강서구 가양동 448-9,126.857950252379,37.5601069146431
6,서울특별시 강서구 가양동,1462,1462,0,강서한강월드메르디앙,84.9,201512,31,"45,000",3,2006,허준로 16-9,서울특별시 강서구 가양동 1462,126.844048489743,37.5698507539742
7,서울특별시 강서구 가양동,1462,1462,0,강서한강월드메르디앙,84.9,201512,31,"45,500",2,2006,허준로 16-9,서울특별시 강서구 가양동 1462,126.844048489743,37.5698507539742
8,서울특별시 강서구 마곡동,1535,1535,0,마곡일성트루엘아파트,59.978,201512,31,"41,500",12,2013,방화대로34길 110,서울특별시 강서구 마곡동 1535,126.822062820522,37.5710512329627
9,서울특별시 강서구 염창동,292,292,0,동아,84.95,201512,31,"42,000",4,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
10,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,84.9958,201512,31,"54,500",15,2004,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
11,서울특별시 강서구 등촌동,676,676,0,태진아름,59.94,201512,31,"29,300",8,1995,등촌로53길 39,서울특별시 강서구 등촌동 676,126.860380385492,37.549652571474
12,서울특별시 강서구 화곡동,460-1,460,1,푸른숲,84.94,201512,30,"32,700",6,2007,곰달래로35길 116,서울특별시 강서구 화곡동 460-1,126.853314603578,37.5363196748514
13,서울특별시 강서구 화곡동,1165,1165,0,강서힐스테이트,152.1,201512,30,"89,500",13,2015,우현로 67,서울특별시 강서구 화곡동 1165,126.840034541157,37.5466340065991
14,서울특별시 강서구 염창동,270-1,270,1,태영,59.97,201512,30,"31,000",14,1999,공항대로61길 60,서울특별시 강서구 염창동 270-1,126.867211516118,37.5533776970786
15,서울특별시 강서구 내발산동,717-20,717,20,강성레스트빌아파트,59.098,201512,30,"23,800",2,2005,강서로45라길 52,서울특별시 강서구 내발산동 717-20,126.834613459214,37.5498802213644
16,서울특별시 강서구 등촌동,507-11,507,11,천우네오젠(507-11),83.21,201512,30,"38,500",7,2007,등촌로53길 10,서울특별시 강서구 등촌동 507-11,126.863079387152,37.5495753629974
17,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201512,29,"27,000",11,1994,공항대로43길 104,서울특별시 강서구 등촌동 707,126.851687961989,37.56080406349
18,서울특별시 강서구 등촌동,630-3,630,3,우성,67.68,201512,29,"31,000",6,1992,화곡로68길 115,서울특별시 강서구 등촌동 630-3,126.859701941934,37.55751251764
19,서울특별시 강서구 화곡동,918-25,918,25,AndPra레지던스,15.26,201512,29,"12,600",9,2013,곰달래로 110-1,서울특별시 강서구 화곡동 918-25,126.845166221171,37.5303316769324
20,서울특별시 강서구 가양동,448-1,448,1,가양강나루현대,84.98,201512,29,"47,000",18,1999,양천로 507,서울특별시 강서구 가양동 448-1,126.856971359725,37.5607561619781
21,서울특별시 강서구 화곡동,1144,1144,0,우림루미아트아파트,66.103,201512,29,"29,900",7,2003,강서로45다길 45,서울특별시 강서구 화곡동 1144,126.835145944161,37.5458007071725
22,서울특별시 강서구 가양동,03월 14일,14,3,가양우성,84.85,201512,29,"40,700",15,1990,양천로 489,서울특별시 강서구 가양동 03월 14일,,
23,서울특별시 강서구 염창동,287-1,287,1,우성2,65.88,201512,29,"30,000",3,1992,양천로67길 54,서울특별시 강서구 염창동 287-1,126.8694909718,37.5557240025396
24,서울특별시 강서구 방화동,852,852,0,마곡중앙하이츠아파트,59.34,201512,29,"27,000",2,1994,양천로6길 28,서울특별시 강서구 방화동 852,126.806639355477,37.5698046000523
25,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,103.92,201512,29,"57,600",8,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
26,서울특별시 강서구 등촌동,676,676,0,태진아름,121.22,201512,29,"50,000",6,1995,등촌로53길 39,서울특별시 강서구 등촌동 676,126.860380385492,37.549652571474
27,서울특별시 강서구 방화동,852,852,0,마곡중앙하이츠아파트,59.34,201512,28,"28,000",9,1994,양천로6길 28,서울특별시 강서구 방화동 852,126.806639355477,37.5698046000523
28,서울특별시 강서구 화곡동,1148,1148,0,우장산롯데,84.98,201512,28,"42,000",2,2004,우장산로 92,서울특별시 강서구 화곡동 1148,126.846487416103,37.552461665687
29,서울특별시 강서구 화곡동,1018-32,1018,32,수산동우,84.32,201512,28,"32,000",7,2005,강서로37길 78,서울특별시 강서구 화곡동 1018-32,126.833081184722,37.5436482949047
30,서울특별시 강서구 화곡동,927-1,927,1,웰라이빌,84.85,201512,28,"27,500",3,2000,강서로5나길 104,서울특별시 강서구 화곡동 927-1,126.842739999797,37.5285700780833
31,서울특별시 강서구 방화동,793,793,0,현대,84.99,201512,28,"40,000",11,1993,방화대로37길 26,서울특별시 강서구 방화동 793,126.814306445709,37.5703736330423
32,서울특별시 강서구 등촌동,634-2,634,2,한사랑2삼성,59.73,201512,28,"36,300",13,1999,공항대로59길 64,서울특별시 강서구 등촌동 634-2,126.864162394395,37.554612829484
33,서울특별시 강서구 방화동,870,870,0,동부센트레빌,84.96,201512,28,"39,000",14,2003,양천로3길 17,서울특별시 강서구 방화동 870,126.806100290213,37.5732659649631
34,서울특별시 강서구 마곡동,750,750,0,마곡엠벨리(14단지),84.5,201512,28,"65,000",10,2014,마곡중앙로 33,서울특별시 강서구 마곡동 750,126.824616701317,37.5568364485914
35,서울특별시 강서구 방화동,868,868,0,신안네트빌1단지,84.0164,201512,28,"34,800",2,2002,양천로14길 37,서울특별시 강서구 방화동 868,126.810174645333,37.5710588449288
36,서울특별시 강서구 가양동,1459,1459,0,동신대아,101.97,201512,28,"53,300",12,1993,강서로 532,서울특별시 강서구 가양동 1459,126.843356532019,37.5721731420165
37,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201512,27,"19,850",8,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
38,서울특별시 강서구 마곡동,1181,1181,0,마곡청구아파트,84.92,201512,27,"37,000",8,1998,양천로26길 103,서울특별시 강서구 마곡동 1181,126.821419397243,37.5729528003044
39,서울특별시 강서구 염창동,295,295,0,성원,59.91,201512,27,"34,800",16,2001,양천로69길 65,서울특별시 강서구 염창동 295,126.872085952226,37.5555795293289
40,서울특별시 강서구 염창동,306,306,0,염창힐스테이트,84.862,201512,26,"53,800",12,2009,양천로73길 24,서울특별시 강서구 염창동 306,126.873552523552,37.551385614756
