NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1157,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201310,1,"24,600",7,1992,허준로 175,서울특별시 강서구 가양동 1485,126.859294056062,37.5632291233676
1158,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201310,1,"17,000",11,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
1159,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201310,1,"15,400",1,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
1160,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201310,1,"14,500",4,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
1161,서울특별시 강서구 등촌동,651,651,0,청솔펠리체,83.12,201309,30,"30,000",4,2011,공항대로55길 9-37,서울특별시 강서구 등촌동 651,126.859862584951,37.5538619590409
1162,서울특별시 강서구 염창동,244-2,244,2,삼성한마음,84.87,201309,30,"35,600",9,1995,양천로 637,서울특별시 강서구 염창동 244-2,126.868290600923,37.5544666796958
1163,서울특별시 강서구 염창동,289,289,0,신동아,59.82,201309,30,"24,000",15,1995,양천로67길 32,서울특별시 강서구 염창동 289,126.869050974189,37.5551294880285
1164,서울특별시 강서구 방화동,814,814,0,방화5,33.18,201309,30,"14,000",3,1994,금낭화로 287-19,서울특별시 강서구 방화동 814,126.810252932489,37.5771889702167
1165,서울특별시 강서구 방화동,832,832,0,청솔,39.36,201309,30,"17,700",10,1994,방화대로47길 55,서울특별시 강서구 방화동 832,126.812965285254,37.5756309765944
1166,서울특별시 강서구 염창동,288,288,0,현대1,84.34,201309,30,"33,900",9,1994,양천로75길 57,서울특별시 강서구 염창동 288,126.875104087032,37.552852468414
1167,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,39.6,201309,30,"18,500",2,1993,허준로 234,서울특별시 강서구 가양동 1490,126.863532908859,37.5587212796979
1168,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,124.4246,201309,30,"74,700",8,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1169,서울특별시 강서구 등촌동,695,695,0,주공5,37.67,201309,30,"18,100",11,1995,공항대로39길 74,서울특별시 강서구 등촌동 695,126.84486883674,37.5604516606831
1170,서울특별시 강서구 등촌동,632-2,632,2,태영,114.97,201309,30,"43,200",9,1998,양천로 590,서울특별시 강서구 등촌동 632-2,126.864090588329,37.5557025027625
1171,서울특별시 강서구 등촌동,632-2,632,2,태영,84.98,201309,30,"36,000",6,1998,양천로 590,서울특별시 강서구 등촌동 632-2,126.864090588329,37.5557025027625
1172,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,125.021,201309,30,"53,300",7,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
1173,서울특별시 강서구 등촌동,695,695,0,주공5,37.67,201309,30,"18,700",11,1995,공항대로39길 74,서울특별시 강서구 등촌동 695,126.84486883674,37.5604516606831
1174,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,144.123,201309,30,"59,800",6,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
1175,서울특별시 강서구 화곡동,919-1,919,1,유림노르웨이숲(919-1),64.05,201309,30,"23,050",13,2004,곰달래로 96,서울특별시 강서구 화곡동 919-1,126.843935091187,37.5301648129326
1176,서울특별시 강서구 내발산동,742,742,0,마곡수명산파크1단지,84.82,201309,30,"40,900",11,2007,강서로47길 108,서울특별시 강서구 내발산동 742,126.830206010388,37.554378050436
1177,서울특별시 강서구 내발산동,730,730,0,길성그랑프리텔,84.99,201309,30,"35,900",8,2003,강서로46길 79,서울특별시 강서구 내발산동 730,126.839321458029,37.5520929941253
