NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,84.7556,201212,31,"39,700",8,2005,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
2,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,144.123,201212,31,"57,500",9,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
3,서울특별시 강서구 화곡동,1133-7,1133,7,진성101동,71.09,201212,31,"26,200",6,2005,까치산로 166-10,서울특별시 강서구 화곡동 1133-7,126.853339879107,37.5517198450604
4,서울특별시 강서구 등촌동,711,711,0,월드메르디앙,84.97,201212,31,"31,250",1,2002,양천로 420,서울특별시 강서구 등촌동 711,126.847224136537,37.5646053489157
5,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201212,31,"14,500",13,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
6,서울특별시 강서구 가양동,1474,1474,0,대림경동아파트,131.4,201212,31,"43,500",12,1993,허준로 121,서울특별시 강서구 가양동 1474,126.854030753209,37.5663473856091
7,서울특별시 강서구 방화동,839,839,0,방화그린,49.77,201212,31,"21,500",14,1993,방화대로48길 40,서울특별시 강서구 방화동 839,126.818960346599,37.5747821264629
8,서울특별시 강서구 염창동,255,255,0,무학,59.38,201212,31,"25,400",6,1999,양천로77길 45,서울특별시 강서구 염창동 255,126.876557322294,37.5513949211236
9,서울특별시 강서구 염창동,255,255,0,무학,59.38,201212,31,"26,500",16,1999,양천로77길 45,서울특별시 강서구 염창동 255,126.876557322294,37.5513949211236
10,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,125.021,201212,31,"53,500",8,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
11,서울특별시 강서구 염창동,262-2,262,2,대림,59.94,201212,30,"26,850",9,1999,공항대로75길 42,서울특별시 강서구 염창동 262-2,126.875776069072,37.5482264632628
12,서울특별시 강서구 화곡동,1039-2,1039,2,은하,79.0,201212,30,"22,500",3,2000,강서로37길 75,서울특별시 강서구 화곡동 1039-2,126.833286242329,37.5432835900986
13,서울특별시 강서구 등촌동,701,701,0,"진로,미주아파트",84.96,201212,30,"35,300",4,1994,공항대로 351-21,서울특별시 강서구 등촌동 701,126.847028675022,37.559838467768
14,서울특별시 강서구 염창동,282,282,0,삼정그린코아,108.255,201212,29,"49,500",15,2001,공항대로75길 30,서울특별시 강서구 염창동 282,126.874704745545,37.5479652131545
15,서울특별시 강서구 화곡동,1111-3,1111,3,경동엠파이어스테이트,14.315,201212,29,"9,000",4,2012,화곡로 344,서울특별시 강서구 화곡동 1111-3,126.851862008553,37.5543000780593
16,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201212,29,"50,500",13,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
17,서울특별시 강서구 등촌동,695,695,0,주공5,58.14,201212,29,"26,700",13,1995,공항대로39길 74,서울특별시 강서구 등촌동 695,126.84486883674,37.5604516606831
18,서울특별시 강서구 등촌동,687,687,0,"등촌1,2단지주공아파트",41.85,201212,29,"18,000",9,1995,강서로68길 36,서울특별시 강서구 등촌동 687,126.842430453381,37.5649734120019
19,서울특별시 강서구 염창동,299,299,0,강변힐스테이트,84.99,201212,29,"41,000",7,2005,양천로75길 19,서울특별시 강서구 염창동 299,126.874542960241,37.5512518819948
20,서울특별시 강서구 염창동,246-23,246,23,극동,59.9,201212,29,"24,300",3,2000,양천로69길 18,서울특별시 강서구 염창동 246-23,126.871230814305,37.5529480482854
21,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201212,28,"48,500",8,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
22,서울특별시 강서구 등촌동,640,640,0,보람(640),83.07,201212,28,"30,000",2,2002,화곡로 390,서울특별시 강서구 등촌동 640,126.854030081422,37.5579898372935
23,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,84.9958,201212,27,"46,250",6,2004,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
24,서울특별시 강서구 등촌동,646-29,646,29,계명위너스,28.52,201212,27,"16,300",4,2011,공항대로59길 35,서울특별시 강서구 등촌동 646-29,126.863385747136,37.5531582645205
25,서울특별시 강서구 등촌동,638,638,0,서광등촌마을아파트,59.67,201212,27,"28,800",13,1999,공항대로45길 68-6,서울특별시 강서구 등촌동 638,126.857444510012,37.5578771499458
26,서울특별시 강서구 등촌동,632-4,632,4,삼성한사랑1,84.99,201212,27,"31,900",13,1997,양천로66길 6,서울특별시 강서구 등촌동 632-4,126.863891749666,37.5552005985963
27,서울특별시 강서구 화곡동,920-16,920,16,청솔펠리스(920-16),14.83,201212,27,"11,500",7,2012,곰달래로 82,서울특별시 강서구 화곡동 920-16,126.841845320541,37.5300829250236
28,서울특별시 강서구 화곡동,920-16,920,16,청솔펠리스(920-16),14.83,201212,27,"11,500",6,2012,곰달래로 82,서울특별시 강서구 화곡동 920-16,126.841845320541,37.5300829250236
29,서울특별시 강서구 염창동,291,291,0,현대3,59.92,201212,27,"23,600",14,1996,양천로75길 60,서울특별시 강서구 염창동 291,126.876169884889,37.5519821461266
30,서울특별시 강서구 방화동,814,814,0,방화5,39.6,201212,27,"18,000",6,1994,금낭화로 287-19,서울특별시 강서구 방화동 814,126.810252932489,37.5771889702167
31,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201212,27,"17,200",11,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
32,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201212,27,"18,000",10,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
33,서울특별시 강서구 가양동,1496,1496,0,일신건영휴먼빌,84.95,201212,27,"36,400",11,2004,강서로 490,서울특별시 강서구 가양동 1496,126.842201078875,37.568917121163
34,서울특별시 강서구 가양동,1496,1496,0,일신건영휴먼빌,84.95,201212,27,"39,700",12,2004,강서로 490,서울특별시 강서구 가양동 1496,126.842201078875,37.568917121163
35,서울특별시 강서구 등촌동,711,711,0,월드메르디앙,84.97,201212,26,"34,000",5,2002,양천로 420,서울특별시 강서구 등촌동 711,126.847224136537,37.5646053489157
36,서울특별시 강서구 화곡동,1111-3,1111,3,경동엠파이어스테이트,14.315,201212,26,"9,922",7,2012,화곡로 344,서울특별시 강서구 화곡동 1111-3,126.851862008553,37.5543000780593
37,서울특별시 강서구 화곡동,1111-3,1111,3,경동엠파이어스테이트,14.315,201212,26,"9,922",6,2012,화곡로 344,서울특별시 강서구 화곡동 1111-3,126.851862008553,37.5543000780593
38,서울특별시 강서구 가양동,03월 14일,14,3,가양우성,84.87,201212,26,"32,200",8,1990,양천로 489,서울특별시 강서구 가양동 03월 14일,,
39,서울특별시 강서구 등촌동,701,701,0,"진로,미주아파트",84.96,201212,26,"35,000",1,1994,공항대로 351-21,서울특별시 강서구 등촌동 701,126.847028675022,37.559838467768
40,서울특별시 강서구 등촌동,638,638,0,서광등촌마을아파트,59.67,201212,26,"26,600",2,1999,공항대로45길 68-6,서울특별시 강서구 등촌동 638,126.857444510012,37.5578771499458
41,서울특별시 강서구 내발산동,721-3,721,3,수산오성,84.94,201212,26,"30,000",2,2002,강서로45나길 15,서울특별시 강서구 내발산동 721-3,126.835137375039,37.5487154235086
42,서울특별시 강서구 내발산동,657,657,0,우장산힐스테이트,84.98,201212,26,"49,500",4,2005,강서로 348,서울특별시 강서구 내발산동 657,126.838965102044,37.5562956592551
43,서울특별시 강서구 화곡동,1111-3,1111,3,경동엠파이어스테이트,18.915,201212,26,"13,110",4,2012,화곡로 344,서울특별시 강서구 화곡동 1111-3,126.851862008553,37.5543000780593
44,서울특별시 강서구 화곡동,1111-3,1111,3,경동엠파이어스테이트,18.915,201212,26,"12,642",3,2012,화곡로 344,서울특별시 강서구 화곡동 1111-3,126.851862008553,37.5543000780593
45,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",114.98,201212,26,"66,250",14,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
46,서울특별시 강서구 염창동,292,292,0,동아,114.84,201212,26,"50,000",11,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
47,서울특별시 강서구 방화동,891,891,0,태승훼미리4차,125.7,201212,26,"38,000",2,2008,금낭화로13길 36,서울특별시 강서구 방화동 891,126.809357117373,37.5719106786882
48,서울특별시 강서구 염창동,268,268,0,관음삼성,59.96,201212,25,"30,600",17,1997,양천로 656,서울특별시 강서구 염창동 268,126.869126258107,37.5525918225659
49,서울특별시 강서구 화곡동,351-89,351,89,중앙화곡하이츠,74.16,201212,24,"27,500",8,1988,강서로17가길 46,서울특별시 강서구 화곡동 351-89,126.843685242147,37.5357166260267
50,서울특별시 강서구 화곡동,1155,1155,0,탑건진선미,69.33,201212,24,"29,000",7,2005,초록마을로 166,서울특별시 강서구 화곡동 1155,126.846141178613,37.5362453143624
51,서울특별시 강서구 방화동,894,894,0,강서센트레빌3차(894-0),84.4,201212,24,"35,000",8,2009,방화대로41길 9,서울특별시 강서구 방화동 894,126.816127880729,37.5712478353642
52,서울특별시 강서구 방화동,814,814,0,방화5,49.77,201212,24,"19,000",4,1994,금낭화로 287-19,서울특별시 강서구 방화동 814,126.810252932489,37.5771889702167
53,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201212,24,"18,500",1,1994,공항대로43길 104,서울특별시 강서구 등촌동 707,126.851687961989,37.56080406349
