사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11530-900000056,구로구,고척동,재개발(주택정비형),조합,고척제4구역 주택재개발정비사업조합,고척동 148,관리처분인가,운영,270,고척제4구역주택재개발조합,구로구 고척동 148번지,41675.0,130987.56,제3종일반주거지역 준공업지역,,33683.0,3697.0,4295.0,,,,,공동주택,20.87,269.89,80.0,25.0,3.0,786,350.0,392.0,44.0,161,78.0,66.0,17.0,
11530-900001207,구로구,가리봉동,재개발(주택정비형),공공지원자,가리봉1구역 주택재개발정비사업,가리봉동 115,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11530-900001285,구로구,오류동,재개발(주택정비형),공공지원자,오류동 4번지 일대 주택재개발정비사업,오류동 4,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11530-900001239,구로구,개봉동,재개발(주택정비형),공공지원자,개봉동 49번지 일대 정비사업,개봉동 49,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11530-900001206,구로구,고척동,재개발(주택정비형),공공지원자,고척동 253번지 일대 주택재개발정비사업,고척동 253,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11530-900001023,구로구,가리봉동,재개발(주택정비형),공공지원자,가리봉2구역  주택재개발정비사업,가리봉동 87-177,정비계획 수립,운영,0,가리봉2구역  주택재개발저비사업,구로구 가리봉동 87-177,40552.0,196251.99,제2종일반주거지역(7층 이하) 제2종일반주거지역,해당없음,35184.0,1828.0,3540.0,0.0,0.0,0.0,0.0,공동주택/부대복리시설,39.48,347.37,95.0,33.0,5.0,0,,,,0,,,,
11530-900001080,구로구,고척동,재개발(주택정비형),추진위원회,고척산업용품상가 시장정비사업,고척동 103-4,조합설립추진위원회승인,운영,999,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
