사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11380-100001069,은평구,증산동,재개발(주택정비형),조합,증산2재정비촉진구역 주택재개발정비사업 조합,증산동 213-20,조합해산,운영,827,증산2재정비촉진구역 주택재개발정비사업조합,은평구 증산동 213-20번지,78755.2,206742.9,2종 일반주거지역,재정비촉진지구,55607.2,18652.0,4595.0,0.0,0.0,0.0,0.0,공동주택 및 부대복리시설,21.3,251.0,92.0,30.0,3.0,1149,302.0,847.0,,237,213.0,24.0,,
11380-100001035,은평구,응암동,재개발(주택정비형),조합청산,응암제1구역 주택재개발정비사업조합,응암동 8,조합청산,운영,450,응암제1구역 주택재개발정비사업구역,은평구 응암동 8번지,43938.0,133165.9,제1종일반주거지역 제2종일반주거지역,일반/ 중심지 미관지구,35246.0,3621.0,3292.0,,,900.0,,공동주택 및 부대복리시설,19.2,227.49,68.0,23.0,5.0,745,151.0,483.0,111.0,127,63.0,48.0,16.0,
11380-100001057,은평구,수색동,재개발(주택정비형),조합,수색4재정비촉진구역 주택재개발 정비사업 조합,수색동 330-1,조합해산,운영,593,수색4재정비촉진구역,은평구 수색동 361-10,61898.0,178408.54,제2종 일반주거지역,대공방어협조구역 비행안전 2.5구역,45496.0,7294.0,3580.0,,2462.0,,270.0,공동주택및근린생활시설,23.98,256.29,7135.0,25.0,3.0,989,418.0,472.0,99.0,203,85.0,83.0,35.0,
11380-900000947,은평구,응암동,재개발(주택정비형),공공지원자,응암3동 재개발 연계형 도시재생활성화사업,응암동 700,정비계획 수립,운영,0,(임시)응암3동 재개발 연계형 도시재생활성화사업,은평구 응암동 700-0,933.62,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-100001060,은평구,수색동,재개발(주택정비형),조합,수색9재정비촉진구역주택재개발정비사업조합,수색동 30-2,조합해산,운영,442,수색9재정비촉진구역주택재개발정비사업조합,수색동 30번지 일대,36458.6,126330.1,준주거및3종일반주거지역,재정비촉진지구,36458.6,5774.0,969.0,,,,718.0,복합용지및공동주택,18.44,273.92,92.0,30.0,4.0,642,226.0,366.0,50.0,135,57.0,54.0,24.0,
11380-100001064,은평구,수색동,재개발(주택정비형),조합,수색6재정비촉진구역 주택재개발 정비사업조합,수색동 115-5,일반분양승인,운영,539,수색6재정비촉진구역주택재개발정비사업조합,은평구 수색동 115-5번지 일대,66062.0,179097.07,,,43809.0,15311.0,1502.0,2579.0,,456.0,,공동주택(아파트)및 부대복리시설,22.59,267.79,84.0,30.0,3.0,1015,315.0,700.0,,208,88.0,97.0,23.0,
11380-100001059,은평구,수색동,재개발(주택정비형),조합,수색7재정비촉진구역 주택재개발정비사업조합,수색동 189,일반분양승인,운영,234,수색7재정비촉진구역 주택재개발정비사업조합,은평구 수색동 189,31793.6,100411.08,제2종일반주거지역(7층),제2종일반주거지역,25362.0,5357.6,270.0,758.0,,46.0,,공동주택(아파트),22.31,249.0,63.0,22.0,3.0,537,180.0,357.0,,112,45.0,45.0,22.0,
11380-900000817,은평구,불광동,재개발(주택정비형),공공지원자,공공주택복합사업 조합(임시),불광동 329-13,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001103,은평구,응암동,재개발(주택정비형),공공지원자,응암3동 재개발 연계형 도시재생활성화사업(A구역),응암동 700,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001104,은평구,응암동,재개발(주택정비형),공공지원자,응암3동 재개발 연계형 도시재생활성화사업(B구역),응암동 755,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001024,은평구,불광동,재개발(주택정비형),공공지원자,불광8 주택정비형 재개발사업,불광동 600,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001158,은평구,신사동,재개발(주택정비형),공공지원자,"(임시)신사동200,237번지 일대",신사동 200,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-100001044,은평구,응암동,재개발(주택정비형),조합,응암제9구역주택재개발정비사업조합,응암동 663,조합해산,일시중단,620,응암 제9주택재개발구역,은평구 응암동 663번지,54729.8,140305.8,제2종일반주거지역,                                                                          ,43124.6,5425.4,5428.7,283.0,,,,공동주택,22.67,213.85,45.0,15.0,4.0,748,224.0,389.0,135.0,219,219.0,,,상가 포함
11380-100001038,은평구,응암동,재개발(주택정비형),조합,응암제3구역주택재개발정비사업조합,응암동 171,조합해산,일시중단,194,응암제3주택재개발구역,은평구 응암동 171-0,18631.7,,제2종일반주거지역,"대공방어협조구역,주택재개발 정비구역,상대정화구역",,1885.0,1650.0,,,,,,21.27,265.79,,22.0,3.0,332,85.0,203.0,44.0,0,,,,임대포함
