사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11350-900001017,노원구,상계동,재개발(주택정비형),공공지원자,상계5동 신속통합기획 주택재개발사업(추정분담금테스트),상계동 154-3,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11350-100002013,노원구,상계동,재개발(주택정비형),조합,상계4재정비촉진구역 주택재개발정비사업 조합,상계동 85-33,조합해산,운영,331,상계4재정비촉진구역 재개발사업,노원구 상계동 85-33번지,39960.6,106835.19,제123종일반주거지역 자연녹지지역,재정비촉진지구,27362.7,9438.9,1247.0,0.0,0.0,0.0,1912.0,공동주택,20.4,254.99,98.0,28.0,3.0,658,399.0,250.0,9.0,152,135.0,17.0,,상가대지포함
11350-100002014,노원구,상계동,재개발(주택정비형),조합,상계1재정비촉진구역 주택재개발정비사업 조합,상계동 -,사업시행인가,운영,305,상계1재정비촉진구역,자력6구역 8블럭9롯트7블럭57롯트상계동 6-42,86432.5,135486.0,제123종일반주거지역 자연녹지지역,재정비촉진지구,5694.55,882.56,181.37,0.0,5.31,0.0,199.34,공동주택및근린생활시설,12.55,195.46,88.0,25.0,3.0,1098,551.0,547.0,,290,155.0,125.0,10.0,85m2 초과세대 없음.
11350-100002017,노원구,상계동,재개발(주택정비형),조합,상계5재정비촉진구역 주택재개발정비사업 조합,상계동 109-43,조합설립인가,운영,801,상계5재정비촉진구역,노원구 상계동 109-43번지,115964.1,151420.87,제23종일반주거지역 준주거지역,,49506.0,24934.9,15745.9,,8559.0,,266.2,공동주택,24.82,261.0,,33.0,3.0,1250,213.0,727.0,310.0,213,105.0,86.0,22.0,
11350-100002018,노원구,상계동,재개발(주택정비형),조합,상계6재정비촉진구역 주택재개발정비사업 조합,상계동 95-3,준공인가,운영,322,상계6재정비촉진구역,노원구 상계동 95-3번지,65684.9,163563.42,제3종 일반주거지역 준주거지역,재정비촉진지구,35315.0,20396.3,9023.3,0.0,0.0,0.0,950.0,공동주택,20.65,304.99,88.0,29.0,3.0,965,457.0,473.0,35.0,198,93.0,84.0,21.0,
11350-100002015,노원구,상계동,재개발(주택정비형),조합,상계2재정비촉진구역 주택재개발정비사업 조합,상계동 -,사업시행인가,운영,1442,상계2재정비촉진구역 주택재개발 정비사업,노원구 상계동 자력2구역 17블럭 1롯트,100819.4,330946838.67,제123종일반주거지역 자연녹지지역,,74231.8,18027.0,1219.2,5719.5,,,1621.9,공동주택 및 부대복리시설,28.18,246.37,72.0,25.0,8.0,1685,413.0,874.0,398.0,515,264.0,231.0,20.0,
11350-900000019,노원구,월계동,재개발(주택정비형),조합청산,월계제4구역 주택재개발정비사업조합,월계동 672,조합청산,운영,103,월계제4 주택재개발정비구역,노원구 월계동 672번지,23525.6,4777589.18,제2종 일반주거지역,-,19136.0,1883.2,1408.8,54.4,0.0,0.0,1043.2,공동주택,35.4,177.74,26.0,9.0,2.0,270,41.0,215.0,14.0,56,26.0,24.0,6.0,
