사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11740-900001168,강동구,천호동,재개발(주택정비형),공공지원자,(가칭)천호동 214-19번지 일대 재개발,천호동 214-19,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11740-900000983,강동구,천호동,재개발(주택정비형),조합,천호동 397-419번지 일대 주택정비형재개발사업조합,천호동 397-419,조합설립인가,운영,216,천호동 397-419번지 일대 주택정비형 재개발구역,강동구 천호동 397-419,1929.23,66889.83,제2종일반주거지역,해당없,1925.6,3.63,,,,,,공동주택 및 부대복리시설,24.72,215.39,72.0,23.0,3.0,324,124.0,192.0,8.0,58,20.0,10.0,28.0,설계업체 및 도시계획업체 선정 시 추가 기재토록 함
11740-900001027,강동구,천호동,재개발(주택정비형),공공지원자,천호동 461-31번지 일대 재개발정비사업(천호 A1-2),천호동 461-31,정비구역지정,운영,248,천호동 461-31번지 일대 재개발정비사업(천호 A1-2),강동구 천호동 461-31,30699.64,122951.92,제3종일반주거지역,,26598.79,4100.85,,,,,,공동주택 및 부대복리시설,36.21,299.99,125.0,40.0,2.0,645,241.0,320.0,84.0,136,110.0,,26.0,
11740-900001152,강동구,천호동,재개발(주택정비형),조합,천호동 532-2번지 재개발사업,천호동 532-2,조합설립인가,운영,0,천호동532-2번지 주택정비형 재개발사업,강동구 천호동 532-2,24620.0,55101.31,제2종일반주거지역,,24000.0,20.0,,,,,600.0,아마트 및 부대복리시설,26.02,229.59,,2.0,24.0,431,260.0,171.0,,77,24.0,33.0,20.0,
