사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11320-100003000,도봉구,도봉동,재개발(주택정비형),조합,도봉제2구역 주택재개발정비사업조합,도봉동 95,착공신고,운영,120,도봉제2주택재개발구역,도봉구 도봉동 95,13436.3,50282.19,제3종일반주거지역,정비구역,12081.5,667.4,687.4,,,,,공동주택,35.06,262.6,54.0,18.0,2.0,239,30.0,209.0,,60,33.0,27.0,,
11320-900001233,도봉구,쌍문동,재개발(주택정비형),공공지원자,쌍문3구역 주택정비형재개발사업,쌍문동 724,정비계획 수립,운영,180,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11320-100003001,도봉구,쌍문동,재개발(주택정비형),조합,쌍문제1구역 주택재개발정비사업조합,쌍문동 414,이전고시,일시중단,182,쌍문제1구역재개발정비사업조합,쌍문동414번지(364-1전지외 110필지),16627.44,,주택재개발사업,,16627.44,3254.22,1187.9,,,,,아파트,24.27,235.46,5780.0,18.0,2.0,293,50.0,215.0,28.0,50,50.0,,,
