사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11260-100003040,중랑구,상봉동,재개발(도시정비형),조합,상봉7재정비촉진구역 도시환경정비사업조합,상봉동 88,사업시행인가,운영,180,상봉7재정비촉진구역,중랑구 상봉동 88,16503.1,143708.0,일반상업지역,재정비촉진지구,11124.3,83.0,3994.1,0.0,0.0,0.0,1301.7,업무 판매 주거 문화,59.98,816.99,140.0,43.0,7.0,423,148.0,217.0,58.0,88,,,88.0,
11260-900001162,중랑구,상봉동,재개발(도시정비형),추진위원회,상봉10재정비촉진구역 도시정비형 재개발사업,상봉동 50-1,조합설립추진위원회승인,운영,122,상봉10재정비촉진구역 도시정비형 재개발사업,중랑구 상봉동 50-1,12008.6,75911.1,도시지역 / 준주거지역,재정비촉진지구,10384.3,724.3,,,900.0,,,주거/판매/근생,31.11,499.99,40.0,40.0,3.0,382,200.0,182.0,,116,36.0,,80.0,
11260-100003039,중랑구,상봉동,재개발(도시정비형),추진위원회,상봉6재정비촉진구역 도시환경정비사업 조합설립추진위원회,상봉동 107-1,조합설립추진위원회승인,일시중단,733,상봉6재정비촉진구역,중랑구 상봉2동 107-1번지 ,98342.1,404142.8,준주거지역,일반미관지구,68227.8,10749.2,19365.1,,,,,"주거,판매,문화등",60.0,399.5,140.0,,,1835,540.0,747.0,548.0,308,,187.0,121.0,
