사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11560-900000772,영등포구,문래동,재개발(도시정비형),조합,영등포 대선제분 일대 재개발1구역 제1지구,문래동3가 16-32,사업시행인가,운영,33,영등포 대선제분 일대 재개발1구역 제1지구 재개발사업,영등포구 문래동3가 16-32,2200.7,17024.11,준주거지역,제1종지구단위계획구역 가축사육제한구역 대공방어협조구역 정비구역 과밀억제권역,1987.9,190.0,0.0,0.0,22.8,0.0,0.0,근린 및 주거,55.2,599.87,66.0,19.0,4.0,125,125.0,,,16,16.0,,,
11560-900001134,영등포구,신길동,재개발(도시정비형),추진위원회,신길16의7구역 가로주택정비사업,신길동 355-347,조합설립추진위원회승인,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900000809,영등포구,당산동,재개발(도시정비형),추진위원회,영등포유통상가 시장정비사업 조합설립추진위원회,당산동2가 30-2,조합설립추진위원회승인,운영,970,영등포유통상가 시장정비사업,영등포구 당산동2가 30-2,2175.41,,준공업지역.일반미관지구. 유통업무시설.지구단위계획구역,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001129,영등포구,신길동,재개발(도시정비형),공공지원자,여의대방신길역세권 장기전세주택사업(도시정비형 재개발),신길동 1343,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001130,영등포구,도림동,재개발(도시정비형),공공지원자,도림2동 역세권 장기전세주택사업(도시정비형 재개발),도림동 239-12,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001044,영등포구,문래동,재개발(도시정비형),공공지원자,대선제분 일대 도시정비형 재개발2구역,문래동1가 13,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001053,영등포구,신길동,재개발(도시정비형),공공지원자,신길4구역 도심공공주택복합사업,신길동 4918-5,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001054,영등포구,신길동,재개발(도시정비형),공공지원자,신길15구역 도심공공주택복합사업,신길동 278-121,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001055,영등포구,영등포동,재개발(도시정비형),공공지원자,영등포역남측 도심공공주택복합사업,영등포동 618-83,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900000862,영등포구,영등포동,재개발(도시정비형),조합,영등포 도심 역세권 도시정비형 재개발사업,영등포동4가 431-6,조합설립인가,운영,102,영등포 도심 역세권 도시정비형 재개발사업,영등포구 영등포동4가 431-6,23094.0,,일반상업지역,해당없음,18451.9,3698.1,,,,,944.0,주거 업무 판매시설,58.65,769.81,150.0,45.0,7.0,999,604.0,355.0,40.0,455,289.0,166.0,,
11560-900001051,영등포구,신길동,재개발(도시정비형),공공지원자,신길1재정비촉진구역 도시환경정비사업,신길동 147-80,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001052,영등포구,신길동,재개발(도시정비형),공공지원자,신길2구역 도심공공주택복합사업,신길동 205-136,정비구역지정,운영,527,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001029,영등포구,대림동,재개발(도시정비형),공공지원자,대림역세권 장기전세주택사업(도시정비형 재개발),대림동 807-13,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001030,영등포구,신길동,재개발(도시정비형),공공지원자,신길동96-24역세권 장기전세주택사업(도시정비형 재개발),신길동 96-24,정비계획 수립,운영,88,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001031,영등포구,신길동,재개발(도시정비형),공공지원자,(가칭)대방역세권 도시환경정비사업 개발촉진위원회,신길동 1358,정비계획 수립,운영,197,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900000515,영등포구,영등포동,재개발(도시정비형),공공지원자,31. 영등포1-15 재정비촉진구역,영등포동2가 34-4,정비구역지정,일시중단,14,영등포1-15 재정비촉진구역,영등포동2가 34-4,1785.4,,일반상업지역,-,1315.0,470.4,,,,,,"판매, 근린생활, 업무, 주거",60.0,7.6,50.0,14.0,2.0,26,9.0,10.0,7.0,0,,,,
11560-900000519,영등포구,영등포동,재개발(도시정비형),공공지원자,35. 영등포1-19 재정비촉진구역,영등포동2가 333-,정비구역지정,일시중단,260,영등포1-19 재정비촉진구역,영등포동2가 333,1944.8,,일반상업지역,중심지미관지구,1281.0,464.8,199.0,,,,,"판매, 근린생활, 업무, 주거",61.0,4.6,40.0,10.0,4.0,0,,,,0,,,,
11560-900000524,영등포구,영등포동,재개발(도시정비형),공공지원자,40. 영등포1-24 재정비촉진구역,영등포동2가 170-,정비구역지정,일시중단,22,영등포1-24 재정비촉진구역,영등포동2가 170,5264.8,,일반상업지역,중심지미관지구,3796.0,970.8,498.0,,,,,"판매, 근린생활, 업무, 주거",54.0,6.2,80.0,25.0,3.0,74,23.0,29.0,22.0,0,,,,
11560-900000526,영등포구,영등포동,재개발(도시정비형),공공지원자,46. 영등포동4가 도시환경정비구역,영등포동4가 423-,정비계획 수립,일시중단,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900000523,영등포구,영등포동,재개발(도시정비형),공공지원자,39. 영등포1-23 재정비촉진구역,영등포동2가 213-,정비구역지정,일시중단,65,영등포1-23 재정비촉진구역,영등포동2가 213,11010.1,,준주거지역,-,7207.0,3803.1,,,,,,"근린생활, 업무, 주거",43.0,3.9,60.0,18.0,2.0,141,43.0,56.0,42.0,0,,,,
11560-900000525,영등포구,영등포동,재개발(도시정비형),공공지원자,41. 영등포1-25 재정비촉진구역,영등포동2가 159-,정비구역지정,일시중단,16,영등포1-25 재정비촉진구역,영등포동2가 159,3451.4,,일반상업지역,중심지미관지구,2470.0,959.4,22.0,,,,,"판매, 근린생활, 업무, 주거",44.0,4.8,80.0,19.0,4.0,48,15.0,19.0,14.0,0,,,,
11560-900000506,영등포구,영등포동,재개발(도시정비형),공공지원자,21. 영등포1-5 재정비촉진구역,영등포동5가 46-4,정비구역지정,일시중단,14,영등포1-5 재정비촉진구역,영등포동5가 46-4,2805.2,,일반상업지역,중심지미관지구,1740.0,1065.2,,,,,,"판매, 근린생활, 업무, 주거",54.0,630.0,100.0,26.0,3.0,45,15.0,17.0,13.0,0,,,,
11560-900000507,영등포구,영등포동,재개발(도시정비형),공공지원자,22. 영등포1-6 재정비촉진구역,영등포동5가 64,정비구역지정,일시중단,10,영등포1-6 재정비촉진구역,영등포동5가 64,2272.0,,일반상업지역,-,1540.0,732.0,,,,,,"판매, 근린생활, 업무, 주거",55.0,780.0,100.0,27.0,4.0,49,16.0,19.0,14.0,0,,,,
11560-900000508,영등포구,영등포동,재개발(도시정비형),공공지원자,23. 영등포1-7 재정비촉진구역,영등포동5가 49-1,정비구역지정,일시중단,116,영등포1-7 재정비촉진구역,영등포동5가 49-1,3596.6,,일반상업지역,-,2415.0,1181.6,,,,,,"근린생활, 업무, 주거",65.0,570.0,60.0,18.0,4.0,115,75.0,40.0,,0,,,,
11560-900000516,영등포구,영등포동,재개발(도시정비형),공공지원자,32. 영등포1-16 재정비촉진구역,영등포동5가 34-46,정비구역지정,일시중단,50,영등포1-16 재정비촉진구역,영등포동5가 34-46,5395.1,,일반상업지역,-,3061.0,2334.1,,,,,,"판매, 근린생활, 업무, 주거",65.0,600.0,70.0,22.0,4.0,60,20.0,23.0,17.0,0,,,,
11560-900000517,영등포구,영등포동,재개발(도시정비형),공공지원자,33. 영등포1-17 재정비촉진구역,영등포동2가 34-75,정비구역지정,일시중단,17,영등포1-17 재정비촉진구역,영등포동2가 34-75,1759.1,,일반상업지역,-,1352.0,407.1,,,,,,"판매, 근린생활, 업무, 주거",60.0,6.9,50.0,14.0,3.0,28,9.0,11.0,8.0,0,,,,
11560-900000520,영등포구,영등포동,재개발(도시정비형),공공지원자,36. 영등포1-20 재정비촉진구역,영등포동2가 256-,정비구역지정,일시중단,54,영등포1-20 재정비촉진구역,영등포동2가 256,9620.6,,"일반상업지역, 준주거지역",-,6228.0,2874.6,518.0,,,,,"근린생활, 업무,주거",49.0,4.0,80.0,25.0,3.0,122,38.0,48.0,36.0,0,,,,
11560-900000522,영등포구,영등포동,재개발(도시정비형),공공지원자,38. 영등포1-22 재정비촉진구역,영등포동2가 328-11,정비구역지정,일시중단,23,영등포1-22 재정비촉진구역,영등포동2가 328-11,4614.7,,일반상업지역,중심지미관지구,3222.0,1392.7,,,,,,"판매, 근린생활, 업무, 주거",57.0,6.4,80.0,25.0,3.0,63,20.0,25.0,18.0,0,,,,
11560-900000505,영등포구,영등포동,재개발(도시정비형),공공지원자,17. 영등포1-1 재정비촉진구역,영등포동7가 105-7,정비구역지정,일시중단,46,영등포1-1 재정비촉진구역,영등포동7가 105-7,6887.4,,"일반상업지역, 준주거지역","중심지미관지구, 일반미관지구",4278.0,1816.4,793.0,,,,,"근린생활, 업무, 주거",44.0,390.0,50.0,15.0,3.0,87,30.0,28.0,29.0,0,,,,
11560-900000509,영등포구,영등포동,재개발(도시정비형),공공지원자,24. 영등포1-8 재정비촉진구역,영등포동5가 38-3,정비구역지정,일시중단,33,영등포1-8 재정비촉진구역,영등포동5가 38-3,314.65,,일반상업지역,중심지미관지구,1951.0,1195.5,,,,,,"판매, 근린생활, 업무, 주거",55.0,590.0,80.0,23.0,3.0,47,15.0,18.0,14.0,0,,,,
11560-900000512,영등포구,영등포동,재개발(도시정비형),공공지원자,26. 영등포1-10 재정비촉진구역,영등포동5가 100,정비구역지정,일시중단,26,영등포1-10 재정비촉진구역,영등포동5가 100,4021.1,,일반상업지역,-,2799.0,1222.1,,,,,,"판매, 근린생활, 업무, 주거",60.0,780.0,60.0,25.0,3.0,89,28.0,35.0,26.0,0,,,,
11560-900000521,영등포구,영등포동,재개발(도시정비형),공공지원자,37. 영등포1-21 재정비촉진구역,영등포동2가 299-,정비구역지정,일시중단,61,영등포1-21 재정비촉진구역,영등포동2가 229,11263.5,,"일반상업지역, 준주거징역",-,7997.0,3266.5,,,,,,"근린생활, 업무, 주거",56.0,3.9,70.0,21.0,3.0,156,48.0,62.0,46.0,0,,,,
11560-900000511,영등포구,영등포동,재개발(도시정비형),공공지원자,25. 영등포1-9 재정비촉진구역,영등포동5가 81-1,정비구역지정,일시중단,48,영등포1-9 재정비촉진구역,영등포동5가 81-1,2184.6,,일반상업지역,-,1712.0,472.6,,,,,,"판매, 근린생활, 업무, 주거",63.0,580.0,60.0,17.0,4.0,0,,,,0,,,,
11560-900000518,영등포구,영등포동,재개발(도시정비형),공공지원자,34. 영등포1-18 재정비촉진구역,영등포동5가 6,정비구역지정,일시중단,33,영등포1-18 재정비촉진구역,영등포동5가 6,4904.8,,일반상업지역,중심지미관지구,3018.0,1367.8,519.0,,,,,"판매, 근린생활, 업무, 주거",58.0,700.0,90.0,25.0,4.0,59,19.0,23.0,17.0,0,,,,
