사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11740-900000035,강동구,천호동,재개발(도시정비형),조합,천호1 도시환경정비사업조합,천호동 423-200,준공인가,운영,173,천호1구역 도시환경정비사업,강동구 천호동 423-200 ,38508.2,252072.18,일반상업지역 준주거지역 제3종일반주거지역,,37007.35,3187.0,183.65,,,,,공동주택 판매/업무시설 문화및 복지시설,42.17,484.19,135.0,40.0,5.0,999,303.0,106.0,590.0,105,,53.0,52.0,
11740-900000149,강동구,천호동,재개발(도시정비형),조합,천호4촉진구역 도시환경정비사업 조합,천호동 410-100,일반분양승인,운영,1218,천호4촉진구역,강동구 천호동 410-100번지 일원,17281.0,154455.12,일반상업지역,재정비촉진지구,1375.67,250.35,11.34,,,,,공동주택/판매시설/업무시설,60.0,793.0,11926.0,38.0,6.0,499,,499.0,,150,34.0,116.0,,
11740-900000918,강동구,천호동,재개발(도시정비형),조합,천호8재정비촉진구역 도시정비형 재개발사업 조합,천호동 166-4,조합설립인가,운영,133,천호8재정비촉진구역 도시정비형 재개발사업,강동구 천호동 166-4,7613.0,77323.73,일반상업지역,재정비촉진지구,6305.0,1308.0,0.0,0.0,0.0,0.0,0.0,일반상업,50.04,794.9,140.0,40.0,7.0,363,189.0,174.0,,157,69.0,19.0,69.0,대지면적과 건축면적은 확정되지 않았기 때문에 전체 대지면적과 건축면적에서 연면적의 비율을 곱한 값임
