사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11305-900000886,강북구,미아동,재개발(도시정비형),조합,강북5구역 공공재개발사업,미아동 61-79,조합설립인가,운영,88,강북5구역,강북구 미아동 61-79,12870.0,75928.13,,,,2928.0,,,,,7.0,,,799.58,130.0,39.0,5.0,326,161.0,82.0,83.0,234,59.0,,175.0,
11305-900001002,강북구,미아동,재개발(도시정비형),조합,미아중심재정비촉진지구 강북3 재정비촉진구역,미아동 45-32,사업시행인가,운영,199,강북3도시정비형재개발정비사업,강북구 미아동 45-32,24348.9,178256.55,공동주택근린생활시설판매시설,미아중심재정비촉진지구준주거지역부설주차장 설치제구역,21240.3,3108.6,0.0,0.0,0.0,0.0,,주거판매,34.98,499.26,130.0,37.0,5.0,681,96.0,565.0,20.0,239,46.0,,193.0,
11305-100004000,강북구,미아동,재개발(도시정비형),추진위원회,강북3구역 도시환경정비사업 조합설립추진위원회,미아동 45-32,조합설립추진위원회승인,일시중단,194,강북3 도시환경정비구역,강북구 미아동 45-32번지,23995.0,,준주거지역,,18331.0,4013.0,,,1651.0,,,"판매,업무,주거",60.0,,100.0,,,0,,,,0,,,,
11305-100004002,강북구,미아동,재개발(도시정비형),추진위원회,강북5구역 도시환경정비사업 조합설립추진위원회,미아동 61-79,조합설립추진위원회승인,일시중단,91,강북5구역 도시환경정비사업,강북구 미아동 61-79,128.7,89665.22,일반상업지역,미아중심재정비촉진지구,9186.0,3300.0,377.0,,,,7.0,공동주택업무판매근린생활,53.17,589.0,100.0,27.0,5.0,208,,124.0,84.0,20,,,20.0,
11305-100003000,강북구,미아동,재개발(도시정비형),조합,미아중심재정비촉진지구 강북2재정비촉진구역 도시환경정비사업조합,미아동 42-8,조합설립인가,일시중단,70,미아균형발전촉진지구 강북2구역 도시환경정비구역,강북구 미아동 42-8번지,18958.0,189446.0,일반상업지역 준주거지역,중심지미관지구 일반미관지구,15384.5,2907.3,666.2,0.0,0.0,0.0,0.0,공동주택,59.05,607.44,149.0,43.0,7.0,333,9.0,9.0,315.0,36,,3.0,33.0,
