사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11380-900001091,은평구,불광동,재개발(도시정비형),공공지원자,독바위 장기전세주택 건립,불광동 227-7,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001264,은평구,대조동,재개발(도시정비형),공공지원자,역촌역세권(대조동) 재개발사업,대조동 59-1,정비구역지정,운영,0,역촌역세권(대조동) 도시정비형 재개발사업,은평구 대조동 59-1,37274.5,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001225,은평구,신사동,재개발(도시정비형),공공지원자,새절역세권(신사동) 장기전세주택 건립사업,신사동 338-41,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001281,은평구,역촌동,재개발(도시정비형),공공지원자,구산역세권(역촌동) 장기전세주택 건립사업,역촌동 13-4,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-100001067,은평구,수색동,재개발(도시정비형),공공지원자,수색11재정비촉진구역,수색동 32-13,정비구역지정,일시중단,0,수색11재정비촉진구역,은평구 수색동 32-13,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-100001054,은평구,수색동,재개발(도시정비형),조합,수색1재정비촉진구역 도시환경정비사업 조합,수색동 366-6,조합설립인가,일시중단,30,수색1재정비촉진구역 도시환경정비사업조합,은평구 수색동 311-9번지,4424.0,23281.0,준주거지역,도시재정비촉진지구,,1165.0,0.0,0.0,0.0,0.0,0.0,공동주택,49.8,399.85,,23.0,4.0,0,,,,0,,,,
