사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11590-900000614,동작구,신대방동,재개발(도시정비형),조합,신대방역세권 재개발정비사업조합,신대방동 600-14,조합설립인가,운영,587,신대방역세권 도시정비형 재개발정비사업,동작구 신대방동 600-14,587.47,222935.61,준주거지역 3종일반주거지역,,44480.0,6253.0,3110.0,,12940.0,,493.0,공동주택/판매시설/근린생활시설,30.62,333.97,100.0,30.0,6.0,1024,550.0,394.0,80.0,140,20.0,30.0,90.0,2015년 정비도서 기준으로 실 사업 시 변경될 수 있음
11590-100007000,동작구,흑석동,재개발(도시정비형),추진위원회,흑석2재정비촉진구역 도시환경정비사업 조합설립추진위원회,흑석동 99-3,조합설립추진위원회승인,운영,300,흑석2재정비촉진구역 재개발정비사업 주민대표회의,동작구 흑석동 99-3번지 ,45229.0,137512.95,제2종일반주거지역(7층) 제2종일반주거지역(12층) 제3종일반주거지역 준주거지역 ,중심지 미관지구,278.79,117.72,49.02,,,,6.76,주상복합 및 업무시설,54.3,400.0,141.0,35.0,6.0,508,28.0,363.0,117.0,101,,80.0,21.0,
11590-900001286,동작구,사당동,재개발(도시정비형),공공지원자,사당동 252-15 일대 역세권활성화사업,사당동 252-15,정비구역지정,운영,146,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11590-900000902,동작구,흑석동,재개발(도시정비형),조합,흑석2재정비촉진구역 재개발정비사업,흑석동 99-3,조합설립인가,운영,308,흑석2재정비촉진구역 재개발정비사업,동작구 흑석동 99-3,45229.0,137512.95,제2종일반주거지역(7층) 제2종일반주거지역(12층) 제3종일반주거지역 준주거지역,중심지 미관지구,278.79,117.72,49.02,,,,6.76,주상복함 및 업무시설,54.3,400.0,141.0,35.0,6.0,508,28.0,363.0,117.0,101,,80.0,21.0,
