사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11230-100008000,동대문구,전농동,재개발(도시정비형),조합,전농도시환경정비사업조합,전농동 494,조합설립인가,운영,239,전농 재정비촉진구역,동대문구 전농동 494번지,28202.4,224172.21,제2종일반주거지역(7층이하) 제3종일반주거지역,일반상업지구,19166.7,5659.7,2670.8,705.2,,,,공동주택판매시설,48.66,736.26,165.0,49.0,8.0,1104,306.0,636.0,162.0,190,33.0,49.0,108.0,
11230-900001149,동대문구,이문동,재개발(도시정비형),공공지원자,신이문2 역세권 도시정비형 재개발정비사업,이문동 170-65,정비계획 수립,운영,167,신이문2 역세권 도시정비형 재개발정비사업,동대문구 이문동 170-65,18004.0,125104.71,제2종일반주거지역(7층이하) 준주거지역,,16806.8,862.5,334.7,,,,,공동주택 및 부대복리시설,32.28,451.67,105.0,36.0,6.0,454,186.0,127.0,141.0,276,41.0,53.0,182.0,
11230-900000889,동대문구,용두동,재개발(도시정비형),조합,용두1구역(6지구) 공공재개발사업,용두동 14-1,조합설립인가,운영,135,용두1구역6지구 공공재개발사업 주민대표회의,동대문구 용두동 14-1,20780.4,,,,,,,,,,,,,,,,,0,,,,0,,,,
11230-900001211,동대문구,용두동,재개발(도시정비형),조합,용두1구역(4지구) 도시정비형재개발사업(지정개발자방식),용두동 26-3,조합설립인가,운영,16,청량리재정비촉진지구 용두1구역(4지구) 도시정비형재개발사업,동대문구 용두동 26-3,1923.0,11118.7,준주거지역 정비구역,재정비촉진지구,1360.5,562.5,0.0,0.0,0.0,0.0,0.0,공동주택(아파트) 및 부대복리시설,49.79,548.97,56.0,18.0,4.0,60,15.0,45.0,,0,,,,기타. 비주거시설(별도)
11230-900001212,동대문구,이문동,재개발(도시정비형),조합,신이문역세권 장기전세주택 도시정비형 재개발사업,이문동 168-1,조합설립인가,운영,464,신이문역세권 장기전세주택 도시정비형 재개발사업,동대문구 이문동 168-1,39717.8,202075.19,준주거지역 (1차 역세권지역),,,,,,,,,공동주택 근린생활시설,30.9,450.51,13.0,40.0,4.0,899,57.0,,842.0,366,60.0,,306.0,
11230-900001278,동대문구,전농동,재개발(도시정비형),공공지원자,전농13구역 도시정비형 재개발사업 조합,전농동 295,정비구역지정,운영,135,전농13구역,동대문구 전농동 295번지,21381.0,,근린상업지역,,,,,,,,,,,,,,,0,,,,0,,,,
11230-900000357,동대문구,용두동,재개발(도시정비형),추진위원회,용두제7구역 도시환경정비사업 조합설립추진위원회,용두동 53-6,조합설립추진위원회승인,일시중단,32,용두제7 도시환경정비사업구역,동대문구 용두동 53-6번지,2933.2,19654.54,"도시지역,준주거지역",,2380.0,553.2,,,,,,공동주택 및 근린생활시설,45.8,486.33,50.0,15.0,4.0,112,84.0,28.0,,0,,,,
11230-900000356,동대문구,용두동,재개발(도시정비형),추진위원회,용두제6구역 도시환경정비사업 조합설립추진위원회,용두동 52-28,조합설립추진위원회승인,일시중단,19,용두제6 도시환경정비사업구역,동대문구 용두동 53-1번지,1873.2,11564.3,"도시지역,준주거지역",,1483.0,268.1,122.1,,,,,공동주택 및 근린생활시설,44.77,446.68,50.0,15.0,4.0,70,70.0,,,0,,,,
