사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11200-900000696,성동구,용답동,재개발(도시정비형),조합,장안평 중고차매매센터 도시정비형 재개발정비사업조합,용답동 234,조합설립인가,운영,506,장안평 중고차매매센터 재개발정비구역,성동구 용답동 234-0,29883.7,338658.92,유통상업지역,해당없음,29883.7,,,,,,,자동차 매매관련 복합 시설,59.79,599.6,108.0,29.0,6.0,0,,,,0,,,,공동주택 없음
11200-900001217,성동구,금호동,재개발(도시정비형),추진위원회,(가칭)금호동2가 684번지 일원 도시정비형재개발정비사업,금호동2가 684,조합설립추진위원회승인,운영,193,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11200-900001284,성동구,금호동,재개발(도시정비형),추진위원회,(가칭)금호동2가 421-1번지 일원 도시정비형 재개발정비사업,금호동2가 421-1,조합설립추진위원회승인,운영,160,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11200-900001187,성동구,행당동,재개발(도시정비형),추진위원회,행당동248번지 일대 역세권활성화사업 도시정비형 재개발사업,행당동 248,조합설립추진위원회승인,운영,81,행당동248번지 일대 역세권활성화사업 도시정비형 재개발사업,성동구 행당동 248-0,11421.0,130525.14,일반상업지역,-,11421.0,729.6,0.0,0.0,0.0,0.0,0.0,주택 및 근린생활시설 등 ,48.17,799.99,170.0,55.0,7.0,477,141.0,258.0,78.0,154,35.0,14.0,105.0,
