사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11110-900000975,종로구,창신동,재개발(도시정비형),조합,창신 1-6구역 도시정비형 재개발사업,창신동 459-12,조합설립인가,운영,17,창신 1-6구역 도시정비형 재개발사업,종로구 창신동 459-12,3999.7,30138.93,일반상업지역,방화지구,,,,,,,,오피스텔 근린생활시설,59.64,834.97,78250.0,25.0,6.0,216,,,216.0,0,,,,
11110-100003018,종로구,종로6가,재개발(도시정비형),조합,종로6가 도시환경정비사업 조합,종로6가 117,조합해산,운영,83,종로6가 도시환경정비구역,종로구 종로6가 82-1번지,12556.3,,일반상업지역,,9665.4,,2890.9,,,,,,60.0,660.0,75.0,,,234,,,234.0,0,,,,
11110-100008013,종로구,창신동,재개발(도시정비형),추진위원회,창신4구역 도시환경정비사업 조합설립추진위원회,창신동 330-1,조합설립추진위원회승인,운영,184,창신4도시정비형 재개발사업 정비구역,창신동 329번지,11915.3,,일반상업지역,중심미관지구  방화지구,8976.8,1778.0,,247.0,,,1428.0,주거 판매,60.0,950.0,121.0,36.0,6.0,420,84.0,189.0,147.0,0,,,,
11110-100003002,종로구,교남동,재개발(도시정비형),조합,돈의문1구역도시환경정비사업조합,교남동 62-1,조합해산,운영,989,돈의문1구역도시환경정비사업조합,종로구 교남동 62-1,152639.0,375580.71,주거. 판매. 업무,일반(주거상업)지역,100393.1,24447.6,6328.8,1053.2,,0.0,20416.3,주거. 판매. 업무,28.17,258.06,69.0,21.0,5.0,2048,603.0,958.0,487.0,496,244.0,201.0,51.0,
11110-900000012,종로구,사직동,재개발(도시정비형),조합,사직제2구역 도시환경정비사업 조합,사직동 311-10,사업시행인가,운영,275,사직2구역 도시환경정비사업구역,종로구 사직동 311-10번지,34268.84,73609.7,제2종 일반주거지역(7층),자연경관지구 역사문화미관지구,27329.24,988.6,0.0,3822.4,2128.6,0.0,,공동주택,31.75,176.82,42.0,12.0,2.0,403,153.0,200.0,50.0,83,28.0,55.0,,
11110-900000887,종로구,신문로1가,재개발(도시정비형),추진위원회,신문로 2-12구역 공공재개발 정비사업,신문로1가 158,조합설립추진위원회승인,운영,7,신문로 2-12구역 공공재개발 정비사업,종로구 신문로1가 158-0,1237.1,22094.01,일반상업지역,방화지구,1163.8,73.3,0.0,0.0,0.0,0.0,0.0,주상복합,75.9,1559.96,90.0,29.0,1.0,183,183.0,,,105,105.0,,,
11110-900001077,종로구,창신동,재개발(도시정비형),조합,창신1-10구역 도시정비형 재개발사업 지정개발자(무궁화신탁),창신동 427-7,조합설립인가,운영,43,창신1-10구역 도시정비형 재개발사업,종로구 창신동 427-7,2281.8,28707.27,일반상업지역 도시지역 ,창신1 도시정비형 재개발구역,2268.3,13.5,,,,,6.6,공동주택 오피스텔 판매시설,59.83,821.29,80.0,23.0,6.0,178,140.0,38.0,,19,4.0,,15.0,
11110-100003019,종로구,내자동,재개발(도시정비형),추진위원회,내자동 도시환경정비사업 조합설립추진위원회,내자동 81,조합설립추진위원회승인,일시중단,106,내자.필운구역 도시환경정비사업,종로구 내자동 81번지 ,20877.0,63897.71,제1종3종 일반주거지역 준주거지역 일반상업지역,중심지 및 역사문화미관지구,18941.56,1246.14,385.0,304.3,,,,공동주택 및 근린생활시설,47.09,334.03,70.0,19.0,3.0,266,42.0,154.0,70.0,55,22.0,22.0,11.0,
11110-100003003,종로구,교남동,재개발(도시정비형),공공지원자,돈의문2구역 도시환경정비사업 조합설립추진위원회,교남동 28,정비구역지정,일시중단,41,돈의문 2구역 도시환경정비구역,종로구 교남동 28번지,6801.4,56807.93,일반상업지역 제3종일반주거지역,뉴타운지구,5510.1,457.3,834.0,0.0,0.0,0.0,0.0,판매 및 업무시설,60.0,710.0,90.0,25.0,,0,,,,0,,,,판매및업무
